Probe Name,sample01,sample02,sample03,sample05,sample06,sample07,sample08,sample09,sample10,sample11,sample12,sample13,sample14,sample15,sample16,sample17,sample18,sample19,sample20,sample21,sample22,sample23,sample24,sample25,sample26,sample27,sample28,sample29,sample30,sample31,sample32,sample33,sample34,sample35,sample36,sample37,sample38,sample39,sample40,sample41,sample42,sample43,sample44,sample45,sample46,sample47,sample48,sample49,sample50,sample51,sample52,sample53
FAS,374.74,432.6,1777.94,391.54,811.34,1956.53,269.87,330.98,801.28,247.15,1106.73,2761.27,254.41,854.51,1898.54,1211.34,119.81,389.7,1804.9,219.69,204.85,119.11,90.02,213.38,118.4,514.8,1021.08,181.39,185.74,425.76,966.32,342.68,204.96,143.15,129.97,181.27,213.64,469.8,1142.71,593.92,255.1,226.19,156.23,208.56,277.05,494.41,1544.05,436.9,270.46,235.11,217.51,153.41
FASLG,130.34,151.29,137.12,88.78,107.55,71.72,77.79,107.57,73.91,109.34,187.65,131.35,93.05,177.4,108.27,37.85,32.21,41.19,40.19,58.48,66.73,54.72,20,65.32,33.46,72.31,44.68,20,51.32,66.92,77.42,71.47,73.06,63.75,60.26,51.15,103.08,150.13,192.89,89.41,109.89,108.83,66.63,137.73,131.23,142.42,221.56,143.1,133.86,109.72,130.51,101.45
FCAR,183.47,44.91,484.48,122.93,234.07,1410.46,144.06,61.47,2651.28,99.09,133.08,1644.05,77.74,273.13,989.47,2832.19,66.99,196.43,291.79,56.24,156.14,88.53,70.02,107.42,65.63,342.12,367.96,813.42,153.97,107.31,209.32,79.41,120.26,36.91,31.9,66.41,94.12,60.83,212.09,103.09,45.79,71.93,128.66,20,136.1,185.15,340.95,127.92,78.85,133.23,102.95,59.38
FCER1A,354.19,239.94,563.7,191.22,218.26,536,285.23,185.58,388.85,59.23,236.47,382.76,85.98,99.24,381.64,206.48,33.49,82.37,288.29,1003.23,873.45,233.39,62.01,49.35,256.1,233.11,885.73,139.91,68.43,84.23,289.61,643.21,527.6,41.38,75.62,34.1,64.24,106.13,425.09,3348.21,1382.79,234.7,73.52,20,99.64,160.73,657.8,1252.87,872.81,374.61,197.21,89.07
FCER1G,2418.43,1691.4,2615.87,1587.8,2139.86,2024.47,1994.72,1605.23,1875.71,1265.39,1904.22,2604.49,1439.3,2711.09,3535.51,3664.98,856.67,1363.93,2998.26,1140.45,939.51,719.47,730.16,766.44,890.57,1791.53,2190.66,1319.61,757.64,1096.14,1850.93,1531.97,786.23,424.99,699.5,485.48,1105.53,1450.82,2622.75,2830.01,1493.99,969.1,1137.26,830.32,1662.31,1513.75,2634.64,1415.24,1307.38,1442,1170.2,816.51
FCGR1A,756.56,431.42,2084.17,471.22,1089.7,3334.28,314.05,249.41,1463.29,345.11,1353.73,3504.19,330.97,836.07,2125.81,1960.39,322.06,887.11,3017.48,105.72,127.45,148.08,126.03,242.42,109.39,741.43,1569.08,216.54,222.4,371.53,1112.56,238.22,107.98,126.38,89.8,115.76,143.42,254.96,1052.21,558.34,68.03,103.16,264.21,86.57,189.56,472.03,2049.17,219.03,165.94,181.82,179.81,94.02
FCGR2A,940.74,372.32,2023.23,1178.05,1772.93,2954.3,946.94,559.11,1709.67,998.87,2643.32,5916.59,617.18,1537.77,2505.3,2302.23,980.34,1618.98,6309.27,530.11,648.58,503.79,580.13,782.41,257.39,996.13,1835.85,715.7,750.3,1008.45,2367.06,894.26,395.05,322.1,423.01,393.95,494.5,606.99,1756.12,790.07,184.46,317.99,546.8,165.28,549.24,1115.99,3027.26,863.28,502.42,672.41,585.82,247.43
FCGR2B,89.26,102.83,205.67,119.51,207.19,78.01,88.36,100.47,57.85,54.67,102.44,45.2,74.2,144.91,83.62,34.41,50.24,240.79,150.26,92.23,114.1,65.99,68.01,82.74,74.64,215.85,135.36,50.62,80.65,131.54,133.34,92.24,83.41,46.97,53.17,43.97,88.14,157.89,198.37,140.5,87.65,74.76,55.14,98.38,75.34,115.97,130.87,73.01,71.51,76.8,72.5,20
FCGR3,621.96,473.97,432.68,400.65,542.48,203.83,683.79,651.31,175.68,228.93,454.75,259.88,261.48,464.58,210.12,50.47,100.48,191.68,186.95,239.94,142.13,123.94,138.03,159.67,110.68,200.74,266.77,89.99,107.54,168.46,384.24,428.8,100.22,89.47,114.61,64.61,182.26,324.85,745.05,356.72,334.9,264.04,213.67,228.24,191.99,183.12,344.4,325.92,147.61,134.8,129.06,116.29
FCGRT,201.89,119.38,83.79,129.76,191.37,181.18,125.81,75.65,142.47,178.82,135.95,199.15,183.74,129.1,219.76,231.71,110.79,69.7,178.22,68.23,83.41,93.35,62.01,87.1,175.03,146.78,159.01,128.66,85.54,92.31,116.13,65.36,73.06,67.1,88.62,70.89,89.64,81.54,108.79,120.43,116.43,92.75,112.58,20,172.55,107.83,148.09,99.29,117.35,126.96,127.61,84.13
FEZ1,20,20,20,23.9,33.21,26.42,24.97,20,25.71,20,20,20,20,20,20,20,20,20,38.44,20,20,20,20,20,25.74,20,20,20,20,20,31.54,20,20,25.72,20,20,37.35,20,20,22.81,20,20,20,78.7,20,22.38,20,20,20,20,20,20
FKBP5,301.06,193.84,748.04,391.54,400.14,1477.15,456.18,475.19,1619.69,255.13,498.79,1748.57,303.88,582.26,1395.76,2326.32,175.2,220.19,567.85,234.69,226.2,143.25,108.02,197.42,204.62,448.96,521.71,1009.57,222.4,305.76,467.39,346.95,272.21,121.9,163.06,174.09,265.92,408.97,744.13,565.64,141.29,287.7,181.5,192.82,376.69,563.59,1105.52,533.86,342.89,407.52,355.26,212.79
FLT1,20,20,20,20,20,20,20,20,39.64,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
FLT3LG,415.11,411.33,390.02,483.74,460.24,342.24,460.02,429.09,260.31,246.02,235.51,177.96,281.5,357.44,240.13,200.74,200.96,137.82,263.83,239.94,202.85,133.59,128.03,214.84,314.02,293.55,316.71,194.04,278.61,280.38,321.15,330.46,232.12,327.69,220.96,263.83,285.35,362.38,444.29,347.59,349.3,259.31,202.18,224.3,274.62,300.11,404.09,235.39,289.71,246.08,307.41,259.8
FN1,401.66,184.39,173.68,372.19,330.55,305.75,189.2,190.31,83.56,164.01,106.27,67.8,297.99,396.96,131.86,143.39,139.13,147.32,188.7,286.42,227.54,101.4,108.02,207.58,115.83,147.86,82.79,256.61,193.08,253.84,227.96,326.8,365.96,91.71,241.04,209.99,445.2,524.16,613.41,718.91,425.17,271.61,234.34,259.72,213.86,245.17,196.31,113.31,189.78,221,259.56,185.57
FOS,2516.9,3011.66,1177.68,982.27,1377.54,958.76,512.85,782.52,1292.97,1539.88,395.4,1639.81,1412.21,489.17,3301.81,2546.56,1114.32,893.45,1418.76,779.79,428.38,432.97,544.12,1307.88,908.59,1643.67,2414.07,957.55,593.89,503.07,500.37,361.61,224.36,574.85,554.16,1083.13,1395.35,2081.1,1641.84,1285.46,245.95,416.41,622.62,452.54,1261.31,1346.91,817.37,432.22,169.61,462.38,751.13,279.59
FOXJ1,20,20,20,20,20,20,20,20,20,20,21.06,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
FOXP3,20,20,20,20,37.96,41.52,30.73,35.46,21.42,20,20,29.66,20,20.2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30.11,21.99,20,20,20,20,20,20,20,20.07,20,20,20,20,20,20,24.11,20,20,20,20,20
FPR2,44.63,36.64,175.2,63.74,156.57,351.04,62.42,61.47,914.82,37.59,86.16,266.95,34.16,202.87,202.61,728.41,36.07,136.23,68.14,61.48,94.08,32.19,20,20,20,88.5,26.28,151.15,61.1,62.31,53.05,54.36,47.85,20,27.18,30.51,31.37,56.95,81.36,163.3,20,25.55,20,20,63.19,86.47,148.09,130.25,112.77,83.07,58,49.49
FUT5,20,20,20,20,20,20,20,23.64,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
FXYD2,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
FYN,583,374.68,702.34,792.19,664.26,532.23,777.91,712.78,489.55,406.61,439.44,319.21,465.24,701.7,466.33,318.89,307.89,228.11,288.29,368.15,392.35,212.46,226.05,409.35,445.28,365.86,396.87,316.37,410.59,389.99,443.02,437.36,484.28,373.54,313.12,393.05,605.05,661.34,827.32,598.48,312.66,489.28,342.33,448.61,510.36,603.26,701.42,532.69,513.42,514.1,549.57,470.11
G6PD,264.23,242.3,169.11,104.72,109.13,189.99,88.36,98.11,186.39,79.73,78.5,107.34,118.96,90.46,110.42,181.24,94.04,102.97,176.47,85.48,94.08,136.81,126.03,116.13,90.09,124.11,101.19,120.92,107.54,102.69,126.17,97.12,91.81,49.21,81.53,94.22,71.71,85.42,111.53,178.81,175.3,93.69,140.15,110.18,162.83,97.66,106.76,75.35,125.6,101.88,114.55,94.02
GATA3,38.96,43.73,20,42.11,42.7,20,32.65,37.83,23.57,23.92,20,20,32.98,21.96,21.44,20,34.78,20,20,24.74,20,20,20,20,32.17,20,31.54,20,20,23.08,37.28,27.49,20.04,32.43,28.36,27.82,38.84,37.53,28.34,31.02,20,20,20,20,20,23.4,25.26,20,24.75,20,20,20
GBP1,1754.67,2761.08,13086.98,1113.17,5761.64,13510.76,856.66,3349.94,6950.1,216.4,7438.82,17883.96,388.68,5147.29,12328.18,7643.13,101.77,2989.25,14626.12,1054.97,198.18,112.67,94.02,146.61,118.4,3045.6,7607.53,1334.38,163.75,2428.81,8738.5,2879.46,638.16,381.37,207.96,310.49,294.31,3537.09,9098.71,4788.76,368.92,224.29,192.99,212.5,279.48,1743.66,10569.57,1900.03,381.4,326.02,327.71,207.84
GFI1,65.88,115.83,63.99,47.8,52.19,32.71,45.14,44.92,38.56,75.17,58.4,28.25,64.78,56.21,34.3,20,32.21,38.02,20,28.49,34.03,37.02,20,36.29,27.03,22.66,30.23,20.39,61.1,47.31,38.71,31.76,29.1,53.68,44.9,26.92,65.73,91.89,84.1,78.46,122.97,69.09,55.14,20,58.33,51.88,63.14,53.74,65.09,59.56,47.85,69.28
GNAQ,337.19,348.68,269.66,292.52,298.92,320.85,300.6,271.87,381.36,268.8,244.13,350.28,286.21,230.97,354.84,443.93,292.43,353.26,347.7,130.47,231.54,267.19,324.07,460.15,272.83,253.62,286.48,205.29,237.07,257.3,249.47,160.65,205.61,211.38,313.12,299.72,259.95,238.14,204.77,138.67,193.62,251.74,342.33,173.15,218.72,262.47,244.52,195.67,267.71,346.39,427.77,314.23
GNAS,1379.23,2645.25,1646.92,1855.28,2354.95,1748.92,2066.75,3406.68,1665.75,1580.88,1109.6,862.98,1256.73,1117.1,932.65,1192.98,2950.05,2811.83,1340.13,1424.62,1979.78,4664.48,4046.89,5457.98,1388.62,1237.88,1252.37,1483.42,884.72,1145.75,858.8,911.97,1844.02,1477.39,1878.72,1616.17,2376.88,2042.27,1126.25,1029.09,3356.9,3154.3,4119.4,2243.04,1888.32,2230.95,1266.24,925.19,4134.85,3760.16,4786.64,3357.6
GNB1,971.2,698.55,1317.84,1146.18,1183.01,1061.94,940.22,1000.02,836.63,774.49,763.99,968.91,791.49,1045.09,1307.86,1382.26,579.7,556.03,1078.05,658.32,628.56,476.43,506.11,667.73,630.61,827.77,1021.08,707.97,747.86,774.22,1007.9,789.2,647.86,589.39,517.53,573.42,915.79,934.42,1403.25,1134.92,540.3,776.04,735.2,535.18,850.6,1021.38,1246.72,924.03,825.14,924.76,858.43,616.1
GNGT1,20,20,20,22.76,20,20,20,20,20,20,20.1,20,20,23.71,20,25.24,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
GNLY,114.76,95.74,126.45,160.49,128.11,163.57,156.54,128.84,208.89,46.7,52.66,145.48,65.96,74.65,122.21,152.56,33.49,20,48.92,1412.62,601.87,146.47,120.03,120.48,84.94,65.83,132.73,1366.72,73.32,36.92,73.12,1528.3,744.2,46.97,115.8,103.2,20,28.47,20,481.7,308.74,76.66,89.6,78.7,68.05,27.47,55.1,1576.45,297.97,114.42,89.9,66.81
GP1BB,182.06,262.4,216.34,227.64,336.87,381.24,368.79,518.92,158.54,209.57,246.05,203.39,358.06,387.3,459.89,657.29,242.19,410.29,307.51,489.62,115.44,152.91,182.04,261.29,220.07,337.8,358.76,540.64,212.63,341.53,315.42,272.43,162.29,127.5,180.78,201.91,403.37,568.16,329.1,162.39,324.44,411.68,385.98,365.97,182.27,289.93,151.54,195.09,209.95,145.77,375.57,254.85
GPI,797.64,758.83,667.3,599.84,496.61,493.22,600.24,520.1,599.89,398.64,371.46,312.14,539.44,405.74,447.03,369.37,265.38,226.53,324.99,614.84,491.77,338.01,256.06,281.61,463.3,335.64,445.49,466.82,329.94,323.07,435.85,507.6,501.09,454.07,445.46,336.51,533.34,524.16,770.64,1098.43,863.43,546.06,482.47,487.96,697.49,529,637.14,773.92,740.79,504.7,578.57,507.23
GPR183,385.36,249.4,240.72,448.45,412.79,207.61,261.22,230.5,163.9,190.21,173.29,145.48,177.85,156.32,111.49,113.56,175.2,118.81,108.33,221.94,344.98,215.68,170.04,256.93,285.7,248.22,236.54,182.09,266.39,227.3,186.38,252.88,293.54,297.49,290.67,267.42,228.57,168.25,124.33,208.01,261.64,211.99,165.42,224.3,209,226.86,157.28,199.76,215.45,197.49,271.16,180.62
GRB2,572.38,471.61,516.47,453.01,472.89,479.38,425.45,399.53,405.99,274.49,380.08,495.76,261.48,368.86,485.62,519.64,197.1,191.68,366.92,270.68,300.94,230.17,178.04,278.71,227.79,314.06,331.16,251.69,254.17,265.38,381.37,346.95,253.46,212.49,255.22,209.09,261.44,362.38,499.14,466.19,328.36,296.22,232.05,224.3,286.77,336.73,466.09,345.2,308.05,278.99,320.46,207.84
GTF3C1,46.75,44.91,38.09,58.05,41.12,57.88,46.1,46.1,37.49,45.56,40.21,40.96,28.27,28.1,36.45,35.56,52.82,45.94,20,29.99,39.37,53.12,54.01,56.61,20,47.49,30.23,30.23,51.32,30,20,28.71,42.03,43.62,41.36,32.31,35.85,53.06,44.79,43.79,36.63,47.32,50.54,20,58.33,41.71,48.22,20,47.67,51.72,63.8,20
GUSB,39.67,50.82,39.61,89.92,75.92,60.39,73.95,73.29,99.62,34.17,26.81,29.66,44.76,36.89,34.3,28.68,32.21,45.94,66.39,69.73,56.05,33.8,20,43.55,39.9,38.85,47.31,44.29,51.32,48.46,64.52,60.47,54.31,35.79,44.9,49.36,71.71,54.36,88.67,94.88,45.79,74.76,59.73,78.7,80.2,61.04,44.77,42.64,45.84,64.26,43.5,59.38
GZMA,203.31,177.3,121.88,224.23,150.25,206.35,113.33,83.93,456.34,125.29,125.42,247.17,116.6,115.05,125.43,91.77,65.7,50.69,97.85,1852.76,278.92,225.34,144.03,161.13,109.39,56.12,165.58,525.17,70.88,43.85,67.38,821.57,142.25,145.39,87.44,56.53,182.26,169.54,289.79,953.37,392.47,234.7,220.56,413.19,325.66,165.82,251.41,1456.13,264.04,183.38,123.25,200.42
GZMB,5645.84,7091.83,5400.85,4532.35,4771.58,3265.08,2775.51,3904.32,7600.33,4285.92,6114.77,5245.7,5032.82,8357.21,5647.38,3138.47,1035.74,1031.27,1029.12,4444.81,3298.96,2106.9,1912.42,2200.61,1875.09,1380.34,2144.67,2010.71,1732.79,2168.04,2315.45,4134.11,2901.81,3132.61,2027.6,1536.3,4038.16,5579.37,5882.67,5685.56,5408.19,4747.07,3864.38,3915.48,6965.17,5656.23,7150.85,8798.68,5827.3,5659.83,4590.89,3728.75
GZMH,3353.5,4938.28,2973.9,1867.8,2030.73,1168.89,1368.55,2186.8,1732.17,2387.27,3432.2,1987.26,2905.68,3623.56,2356.29,898.18,481.8,557.61,496.22,1486.85,1423.94,1366.51,1188.26,1142.4,909.87,777.05,947.49,629.22,1153.56,1678.82,1390.7,2116.53,1952.64,1722.32,1602.23,1312.86,3096.97,4028.9,4529.7,3915.67,3674.79,3044.52,2998.22,3931.22,5451.11,3605.34,4709.07,4217.11,4132.1,3957.65,3068.32,3295.75
GZMK,1308.39,953.85,956.77,1053.98,797.11,346.01,606,711.6,799.13,571.76,548.58,406.77,705.51,819.39,613.19,310.86,438,236.04,244.61,877.27,1016.24,539.2,596.13,779.5,666.64,401.48,466.52,584.23,659.88,594.22,506.1,938.85,957.57,721.36,720.77,734.95,882.93,713.11,780.7,775.47,890.9,738.18,693.84,1058.56,1091.19,807.74,757.68,1135.46,1015.83,904.38,809.13,695.27
GZMM,33.29,55.55,38.09,40.98,33.21,20,28.81,42.55,33.21,27.34,39.25,31.07,38.87,22.83,20,20,27.05,20,20,27.74,26.02,43.46,20,40.64,39.9,26.98,26.28,20,20,36.92,28.67,38.48,26.51,45.85,35.45,27.82,47.81,37.53,42.97,59.3,49.71,25.55,20,20,104.5,53.92,53.96,46.14,73.35,47.02,60.9,69.28
HAMP,20,20,20,20,20,20,20,20,21.42,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
HAVCR2,20,36.64,59.42,39.84,34.79,56.62,20.17,26.01,102.84,25.06,40.21,69.21,20,33.37,36.45,42.44,20,20,48.92,37.49,29.36,20,20,20,20,20,35.48,21.79,20,20,45.88,33.6,20,22.37,20,20,20,34.94,44.79,40.14,20,31.23,20,82.64,20,24.42,27.55,33.88,20,20,20,20
HDAC3,247.94,202.12,204.15,226.5,211.93,201.32,219.93,189.13,209.96,121.87,131.16,134.18,155.47,185.31,122.21,151.42,100.48,87.13,104.83,136.46,146.13,86.92,90.02,110.32,117.11,111.16,120.9,153.26,122.2,113.08,150.54,160.65,132.55,117.43,111.07,127.43,152.38,196.72,226.71,204.36,196.23,178.87,126.36,129.86,201.71,184.13,202.05,158.87,180.61,144.2,172.56,158.35
HDAC4,139.55,50.82,187.39,176.42,180.3,424.02,116.21,86.29,163.9,127.56,91.91,255.65,124.85,165.11,290.52,222.54,86.31,79.21,344.21,56.98,64.06,72.43,54.01,87.1,65.63,96.05,182.66,113.19,85.54,103.84,170.61,78.19,85.35,61.51,83.89,81.66,74.7,85.42,179.18,117.69,90.27,88.01,89.6,20,87.49,112.92,241.08,66,97.18,97.18,94.25,59.38
HFE,20,30.73,33.52,20,20,20,20,20,20,20,20,20,20,22.83,20,20,20,20,20,20,20,20,20,20,20,26.98,20,20,20,20,20,20,20,34.67,20,20,32.87,20,20,20,20,20,20,90.51,20,20,20,20,20,20,20,51.96
HIF1A,308.86,255.31,287.94,240.16,286.26,257.93,164.23,148.94,607.38,97.95,189.56,233.05,117.78,264.35,242.28,785.76,103.06,174.25,197.44,176.2,188.17,125.55,84.02,126.29,102.96,234.19,186.61,251.69,122.2,139.61,172.05,183.86,168.11,119.67,155.97,116.66,192.72,217.43,308.99,505.42,227.63,166.56,151.63,173.15,191.99,196.34,320.29,277.44,187.03,139.5,146.46,111.34
HLA-A,4598.84,3932.42,5912.75,5173.16,6572.99,10820.69,2288.59,2361.74,4619.11,247.15,437.52,860.16,703.16,925.65,1277.84,1498.11,173.91,315.24,599.3,198.7,180.83,170.61,100.02,143.71,389.95,707.98,951.43,559.62,1537.27,2229.2,3425.15,2331.55,1752.2,301.97,1512.43,1227.61,239.03,411.56,670.08,595.74,391.16,256.47,257.32,255.79,2206.69,2639.91,5136.12,2658.76,2041.75,1830.71,1961.93,1276.73
HLA-B,6172.17,5859.03,7492.64,5417.88,7155,11233.38,2969.51,3196.27,5550.01,3012.56,6215.3,10177.84,5540.46,8681.27,12259.57,11990.63,1741.69,3901.71,7111.25,2692.53,2027.82,1627.26,1452.32,1849.32,3102.83,7786.68,9275.17,5574.44,3252.95,5331.84,7182.92,5002.11,3219.27,3214.25,3009.49,2680.45,2133.37,3685.93,5187.9,4259.61,1649.67,2099.08,2265.32,1995.13,4858.12,5276.77,9166.72,4953.06,3830.47,3449.82,4047.11,2917.18
HLA-C,155.84,166.66,196.53,140,183.46,338.46,76.83,78.02,182.11,96.81,134.03,331.92,131.92,209.9,336.61,300.54,68.28,95.05,183.46,94.47,56.72,48.29,52.01,68.22,92.66,174.84,233.92,147.64,73.32,100.38,159.14,95.9,56.25,86.12,70.89,53.84,65.73,107.42,191.06,167.87,58.87,70.98,52.84,20,94.78,111.9,179.09,103.97,90.77,79.94,85.55,54.43
HLA-DMA,915.94,833.29,516.47,496.26,468.14,290.65,381.27,374.71,212.1,277.91,290.09,279.66,279.14,183.55,181.17,112.42,175.2,212.27,300.52,245.93,208.19,135.2,146.03,182.9,212.35,269.81,303.57,149.05,200.41,314.99,430.11,407.43,257.33,133.09,256.4,179.47,213.64,385.68,525.65,550.13,272.11,190.22,176.91,177.08,252.75,238.05,278.96,251.74,133.86,158.31,197.21,133.61
HLA-DMB,272.73,257.67,281.85,242.44,210.35,174.89,241.06,213.95,114.62,113.9,191.48,90.39,134.27,120.32,67.54,35.56,105.63,123.56,169.48,147.71,132.12,83.7,66.01,148.06,144.14,140.3,203.69,120.22,117.31,180,272.41,257.16,142.25,118.55,111.07,108.58,110.55,185.07,275.16,348.51,175.3,109.78,121.77,129.86,150.68,120.04,206.64,80.02,87.1,79.94,87,69.28
HLA-DOB,43.21,27.19,50.28,106.99,80.66,67.94,48.02,40.19,41.78,27.34,24.89,28.25,20,20,20,25.24,30.92,31.68,45.43,20,20,20,20,20,29.6,20,20,20,73.32,47.31,50.18,25.65,35.56,30.2,42.54,46.66,20,27.18,20,27.37,20,20,20,20,63.19,26.45,20,20,29.34,51.72,31.9,66.81
HLA-DPA1,1841.8,1730.41,1739.85,1384.06,1228.88,736.06,1771.91,1890.1,1048.73,292.71,447.1,223.16,453.46,326.7,228.34,136.5,181.64,236.04,323.24,342.66,270.91,217.29,178.04,177.09,232.94,303.27,333.79,157.48,613.44,827.29,1093.93,1054.3,667.91,192.36,582.52,428.94,265.92,423.21,671,719.82,230.25,241.33,222.86,259.72,843.31,861.66,1147.99,808.96,562.01,639.49,594.52,489.91
HLA-DPB1,1022.2,1063.77,790.7,867.32,751.24,346.01,719.33,622.94,379.21,446.47,424.12,289.54,619.53,381.15,276.58,111.27,291.14,364.35,384.39,496.37,453.07,397.56,312.07,344.03,523.79,496.45,517.77,345.19,464.36,632.3,712.56,781.87,541.83,381.37,534.08,402.92,448.19,694.99,748.7,886.77,859.5,454.27,317.05,405.32,690.2,543.24,526.93,445.07,352.06,407.52,468.37,381.04
HLA-DQA1,1270.14,1057.86,877.54,885.53,683.24,289.39,803.84,806.16,672.73,192.48,118.71,107.34,234.39,93.09,78.26,60.8,193.23,99.8,76.88,116.97,333.63,226.95,148.03,223.54,212.35,90.66,84.1,199.66,222.4,167.31,164.88,151.49,278.03,295.25,321.39,257.55,153.88,103.54,102.39,111.3,374.15,262.15,209.07,110.18,216.29,217.7,168.75,110.39,160.44,189.65,240.71,197.94
HLA-DQB1,407.32,345.14,347.36,240.16,161.32,110.72,275.63,190.31,176.75,105.92,122.54,74.86,115.43,98.36,65.39,43.59,78.58,77.62,89.11,109.47,96.75,85.31,92.02,88.55,124.83,91.73,109.07,85.07,87.98,93.46,147.67,145.99,98.93,77.17,114.61,87.05,89.64,112.6,162.72,196.15,120.36,88.01,66.63,20,133.67,106.82,117.1,96.96,81.6,83.07,111.65,79.18
HLA-DRA,7760.37,6353.1,8194.98,8462.58,7664.27,4003.65,6879.23,6866.55,3890.68,4055.85,7622.64,4230.17,4185.97,4481.59,3570.88,2201.28,3056.97,5130.99,4792.67,5165.37,4992.48,3157.94,3008.66,4012.19,4279.11,5792.25,5786.14,3401.33,4418.73,7634.88,8774.34,8458.81,5205.53,3633.65,4395.49,3523.08,4705.96,7833.89,10489.15,12173.97,6248.06,4045.8,3590.98,3525.9,6430.51,6410.05,7998.07,6099.62,3544.42,4153.57,4676.44,3038.42
HLA-DRB1,2796,2856.82,2658.53,1967.96,1939,831.68,1595.2,1700.98,728.43,1518.24,2092.83,1070.61,2037.63,1408.68,1073.09,628.61,1104.01,1279.98,1583,1690.05,1341.87,1147.61,906.2,1026.27,1568.79,1789.37,2013.26,985.67,1224.44,1970.74,2352.73,2165.4,1411.46,1194.44,1449.8,1179.15,1450.63,2420.18,3041.43,2828.19,2135.02,1318.32,978.73,940.5,1620.99,1406.94,1472.87,1373.19,932.4,984.32,988.94,1031.78
HMGB1,19631.51,19714.1,23957.24,23397.03,28632.66,22946.14,26424.97,29280.66,19621.6,22216.6,23748.71,26317.48,11872.42,13934.82,12222.05,13096.44,35539.73,38903.01,18871.9,8437.5,18903.62,31214.05,34193.52,68243.57,9837.44,11097.77,6671.86,7793.95,12229.72,13963.62,8977.93,6240.88,14168.93,14669.91,20675.33,20529.19,36149.2,28386.05,16722.86,7424.44,10590.05,31012.11,33389.41,29816.7,12331.21,22819.22,16185.55,7647.45,28290.27,41093.73,50557.74,28209.32
HMGB2,252.89,209.21,249.86,270.89,275.19,372.43,224.73,176.13,445.63,148.07,164.67,416.66,135.45,175.65,329.11,683.67,136.55,99.8,167.73,305.92,207.52,117.5,88.02,116.13,114.54,146.78,156.38,241.85,122.2,144.23,134.77,237,196.56,116.31,109.89,117.56,191.23,185.07,243.17,377.7,242.02,161.83,119.47,188.89,145.82,157.68,191.71,450.33,229.2,258.62,181.26,155.88
HMGN1,20,20,20,25.04,20,20,20,20,53.56,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,24.42,20,20,20,20,20,20
HPRT1,168.6,131.2,176.73,158.21,148.67,157.28,170.95,169.03,193.89,102.51,106.27,120.06,109.54,136.13,127.57,108.97,68.28,85.54,82.12,122.97,73.4,78.87,70.02,71.13,105.53,97.13,123.53,94.91,95.32,102.69,98.93,128.27,85.99,116.31,80.35,80.76,135.95,135.89,170.95,191.59,113.82,99.37,110.28,133.8,213.86,141.41,160.72,179.31,139.36,133.23,137.76,131.14
HRAS,37.54,34.28,36.56,39.84,47.45,26.42,44.18,42.55,42.85,26.2,41.17,35.31,36.51,36.89,28.94,20,20,20,20,35.24,26.69,20,20,20,29.6,30.22,20,23.9,20,27.69,37.28,39.7,36.21,36.91,40.17,26.02,29.88,44,45.71,54.74,58.87,32.18,52.84,20,55.9,37.64,49.36,44.97,46.76,39.18,36.25,49.49
HSD11B1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20.07,20,20,20,20,20,20,20,20,20,20,20,20
HSH2D,118.3,141.84,274.23,121.79,243.56,186.22,62.42,133.57,107.12,29.61,130.2,108.76,42.4,149.3,84.69,76.86,47.66,166.33,153.76,58.48,52.71,46.68,54.01,50.81,61.77,410.11,152.44,66.09,78.21,206.54,164.88,69.02,65.3,30.2,34.27,44.87,29.88,120.36,70.39,67.51,52.33,29.34,20,125.93,65.62,79.35,76.92,45.56,37.59,45.45,29,61.86
HSPB1,260.69,83.92,193.49,196.91,297.33,181.18,35.53,35.46,62.13,36.45,82.33,155.37,20,20,25.73,27.53,36.07,72.87,89.11,41.99,20,20,42.01,20,20,47.49,43.37,38.67,53.77,83.08,114.7,59.25,33.62,22.37,30.72,43.07,58.26,85.42,58.51,141.41,43.17,27.45,20,20,48.61,54.93,68.88,61.91,24.75,36.05,42.05,20
